season,team,player_id
2023,LA,00-0034804
2023,NYJ,00-0034805
2023,CLE,00-0034807
2023,CLE,00-0034808
2023,SF,00-0034810
2023,BUF,00-0034812
2023,SF,00-0034815
2023,DAL,00-0034816
2023,CLE,00-0034817
2023,KC,00-0034818
2023,TEN,00-0034825
2023,CHI,00-0034827
2023,TEN,00-0034828
2023,NE,00-0034829
2023,CAR,00-0034830
2023,CHI,00-0034831
2023,MIA,00-0034832
2023,MIA,00-0034833
2023,CIN,00-0034834
2023,DAL,00-0034835
2023,IND,00-0034836
2023,JAX,00-0034837
2023,LA,00-0034838
2023,IND,00-0034842
2023,ATL,00-0034843
2023,NYG,00-0034844
2023,LA,00-0034845
2023,PHI,00-0034846
2023,DEN,00-0034847
2023,ATL,00-0034854
2023,TB,00-0034855
2023,CLE,00-0034856
2023,BUF,00-0034857
2023,TEN,00-0034858
2023,CHI,00-0034860
2023,IND,00-0034867
2023,SF,00-0034869
2023,BAL,00-0034874
2023,MIA,00-0034887
2023,TB,00-0034899
2023,NYJ,00-0034902
2023,JAX,00-0034903
2023,HOU,00-0034928
2023,DEN,00-0034929
2023,CLE,00-0034930
2023,ATL,00-0034937
2023,SF,00-0034941
2023,PHI,00-0034951
2023,MIA,00-0034954
2023,NYJ,00-0034955
2023,NE,00-0034957
2023,HOU,00-0034959
2023,LV,00-0034960
2023,NE,00-0034962
2023,HOU,00-0034966
2023,GB,00-0034967
2023,GB,00-0034968
2023,DAL,00-0034969
2023,CIN,00-0034970
2023,NE,00-0034971
2023,MIN,00-0034972
2023,LV,00-0034973
2023,SEA,00-0034974
2023,BAL,00-0034975
2023,DAL,00-0034977
2023,DEN,00-0034978
2023,NO,00-0034981
2023,SF,00-0034982
2023,LV,00-0034983
2023,IND,00-0034987
2023,WAS,00-0034988
2023,TB,00-0034989
2023,HOU,00-0034990
2023,CLE,00-0034991
2023,PIT,00-0034992
2023,LV,00-0034993
2023,MIN,00-0034994
2023,NO,00-0034999
2023,MIA,00-0035000
2023,ARI,00-0035003
2023,GB,00-0035004
2023,SF,00-0035020
2023,IND,00-0035021
2023,ATL,00-0035022
2023,SF,00-0035026
2023,CHI,00-0035039
2023,DET,00-0035040
2023,NYG,00-0035042
2023,IND,00-0035045
2023,LV,00-0035061
2023,BAL,00-0035062
2023,DEN,00-0035073
2023,LV,00-0035076
2023,GB,00-0035084
2023,SEA,00-0035094
2023,ATL,00-0035098
2023,CHI,00-0035099
2023,CIN,00-0035100
2023,WAS,00-0035101
2023,WAS,00-0035102
2023,PIT,00-0035108
2023,BAL,00-0035112
2023,MIA,00-0035117
2023,GB,00-0035118
2023,LAC,00-0035120
2023,MIA,00-0035125
2023,LV,00-0035126
2023,LV,00-0035127
2023,GB,00-0035133
2023,KC,00-0035140
2023,SEA,00-0035141
2023,NO,00-0035142
2023,SEA,00-0035143
2023,NE,00-0035144
2023,NYJ,00-0035145
2023,PIT,00-0035146
2023,ARI,00-0035147
2023,LV,00-0035148
2023,KC,00-0035149
2023,HOU,00-0035150
2023,DET,00-0035156
2023,KC,00-0035157
2023,SEA,00-0035164
2023,TEN,00-0035166
2023,LAC,00-0035181
2023,DET,00-0035184
2023,LV,00-0035187
2023,CAR,00-0035189
2023,LV,00-0035190
2023,WAS,00-0035192
2023,BAL,00-0035202
2023,PHI,00-0035208
2023,BUF,00-0035210
2023,BUF,00-0035215
2023,PIT,00-0035216
2023,DET,00-0035217
2023,KC,00-0035219
2023,LV,00-0035222
2023,TB,00-0035223
2023,DEN,00-0035227
2023,ARI,00-0035228
2023,MIN,00-0035229
2023,BUF,00-0035230
2023,MIA,00-0035231
2023,TEN,00-0035233
2023,HOU,00-0035234
2023,ATL,00-0035235
2023,MIN,00-0035236
2023,KC,00-0035237
2023,CIN,00-0035238
2023,TEN,00-0035239
2023,NE,00-0035240
2023,MIN,00-0035241
2023,NO,00-0035242
2023,CAR,00-0035243
2023,NO,00-0035244
2023,CIN,00-0035245
2023,ATL,00-0035246
2023,NE,00-0035247
2023,DEN,00-0035248
2023,MIN,00-0035249
2023,HOU,00-0035250
2023,LAC,00-0035251
2023,NYG,00-0035252
2023,DET,00-0035253
2023,TB,00-0035254
2023,TEN,00-0035255
2023,ARI,00-0035258
2023,TEN,00-0035259
2023,PIT,00-0035260
2023,DAL,00-0035261
2023,KC,00-0035262
2023,CLE,00-0035263
2023,DEN,00-0035264
2023,DET,00-0035265
2023,GB,00-0035266
2023,IND,00-0035269
2023,JAX,00-0035270
2023,MIA,00-0035272
2023,PIT,00-0035273
2023,PHI,00-0035274
2023,HOU,00-0035276
2023,SEA,00-0035277
2023,MIA,00-0035278
2023,KC,00-0035279
2023,MIA,00-0035280
2023,LAC,00-0035282
2023,PIT,00-0035286
2023,BUF,00-0035287
2023,IND,00-0035289
2023,TB,00-0035290
2023,CIN,00-0035291
2023,MIA,00-0035292
2023,ATL,00-0035294
2023,ATL,00-0035295
2023,ATL,00-0035298
2023,ARI,00-0035300
2023,DAL,00-0035301
2023,NYJ,00-0035307
2023,NYG,00-0035308
2023,TEN,00-0035309
2023,MIN,00-0035311
2023,BUF,00-0035315
2023,ATL,00-0035316
2023,NYG,00-0035317
2023,DET,00-0035328
2023,LAC,00-0035329
2023,DET,00-0035330
2023,ARI,00-0035334
2023,CIN,00-0035341
2023,TB,00-0035342
2023,ARI,00-0035343
2023,WAS,00-0035344
2023,NYG,00-0035345
2023,MIA,00-0035346
2023,BUF,00-0035352
2023,JAX,00-0035355
2023,NYG,00-0035356
2023,BUF,00-0035357
2023,TB,00-0035358
2023,DEN,00-0035359
2023,NE,00-0035363
2023,NYJ,00-0035365
2023,JAX,00-0035378
2023,BUF,00-0035382
2023,PIT,00-0035383
2023,PHI,00-0035384
2023,CHI,00-0035386
2023,TB,00-0035393
2023,CIN,00-0035399
2023,JAX,00-0035400
2023,NO,00-0035402
2023,ATL,00-0035403
2023,DEN,00-0035406
2023,CLE,00-0035407
2023,BAL,00-0035408
2023,CAR,00-0035409
2023,NO,00-0035412
2023,TEN,00-0035413
2023,LAC,00-0035414
2023,KC,00-0035423
2023,DET,00-0035428
2023,NE,00-0035435
2023,NE,00-0035436
2023,LV,00-0035437
2023,CLE,00-0035444
2023,ATL,00-0035455
2023,DAL,00-0035457
2023,LAC,00-0035468
2023,ATL,00-0035470
2023,NYJ,00-0035480
2023,SF,00-0035485
2023,BUF,00-0035499
